book1,book2,weight
6877,18467,5
6877,18517,13
6877,49052,9
6877,78256,7
6877,110885,17
6877,253230,5
6877,253256,14
6878,16234,18
6878,18370,8
6878,18379,8
6878,18467,3
6878,18517,7
6878,26886,25
6878,49052,5
6878,64769,9
6878,78256,5
6878,78262,4
6878,88772,19
6878,95399,18
6878,110872,15
6878,110885,8
6878,111413,17
6878,130535,26
6878,253230,3
6878,253256,7
6878,411993,8
6882,18379,9
6882,18467,6
6882,18517,17
6882,49052,9
6882,64769,15
6882,78256,6
6882,110872,23
6882,110885,11
6882,253230,3
6882,253256,11
6883,16234,15
6883,18370,5
6883,18379,5
6883,18467,3
6883,18517,7
6883,49052,4
6883,64769,6
6883,78256,4
6883,78262,4
6883,88772,17
6883,95399,27
6883,110872,16
6883,110885,7
6883,111413,25
6883,253230,3
6883,253256,6
6883,411993,3
16234,18467,7
16234,64769,19
16234,78256,4
16234,110872,15
16234,110885,12
16234,253230,3
16234,253256,6
18370,18379,7
18370,18467,2
18370,18517,6
18370,49052,3
18370,64769,8
18370,78256,5
18370,110872,8
18370,110885,10
18370,253230,7
18370,253256,13
18379,18467,5
18379,18517,12
18379,64769,38
18379,78256,11
18379,78262,11
18379,88772,9
18379,110872,9
18379,110885,6
18379,130535,16
18379,253230,6
18379,253256,8
18379,411993,6
18467,18517,9
18467,26886,8
18467,49052,7
18467,64769,8
18467,78256,2
18467,78262,2
18467,88772,3
18467,95399,5
18467,110872,2
18467,110885,4
18467,111413,4
18467,130535,5
18467,253230,2
18467,253256,3
18467,411993,3
18517,78256,3
18517,78262,4
18517,110872,7
18517,110885,10
18517,130535,17
18517,253230,4
18517,253256,6
18517,411993,8
26886,78256,4
26886,110885,15
26886,253230,3
26886,253256,9
49052,78256,3
49052,78262,4
49052,110872,5
49052,110885,8
49052,130535,10
49052,253230,2
49052,253256,3
49052,411993,6
64769,78256,7
64769,78262,11
64769,110885,11
64769,253230,3
64769,253256,6
64769,411993,6
78256,78262,6
78256,88772,5
78256,95399,4
78256,110872,6
78256,110885,3
78256,111413,5
78256,130535,9
78256,253230,3
78256,253256,4
78256,411993,3
78262,110872,7
78262,110885,5
78262,253230,3
78262,253256,7
88772,110872,17
88772,110885,15
88772,253230,4
88772,253256,10
95399,110872,33
95399,110885,21
95399,253230,5
